"LSOA11CD","OVERALL_RANK","INCOME_RANK","EMPLOYMENT_RANK","EDUCATION_RANK","HEALTH_RANK","CRIME_RANK","HOUSING_RANK","LIVING_RANK","QUINTILE","DECILE","NORMALISED_RANK"
"E01031424",30381,28603,24967,23496,20915,29701,31289,31357,5,10,0.9250091340884179758860065765436609426379
"E01031399",23235,21739,20794,11189,22684,22046,19428,32151,4,8,0.7074351479722323712093533065400073072707
"E01031461",27202,23571,23326,18959,24723,31833,16362,30920,5,9,0.8282182438192668371696504688832054560955
"E01031411",24003,23779,18176,20000,20557,22162,15579,30335,4,8,0.7308184143222506393861892583120204603581
"E01031413",26683,21416,24544,19254,20812,26134,25726,27716,5,9,0.8124162708561685543782730483497746924857
"E01031458",29309,30386,22335,26582,21512,25146,20370,32429,5,9,0.8923699914748508098891730605285592497869
"E01031460",19949,20784,14109,20463,16254,29999,8423,26409,4,7,0.6073864328340031664839848983071489465351
"E01031428",10767,12103,14971,9287,13551,3012,19180,5567,2,4,0.3278224333211545487760321519912312751187
"E01031456",3588,5818,3872,8156,2802,6593,9527,1030,1,2,0.1092436974789915966386554621848739495798
"E01031401",13814,11657,13927,8494,16146,10213,16752,22037,3,5,0.4205943246863962976494945804408720009743
"E01031403",14713,11884,15383,6746,13528,21770,19959,19900,3,5,0.4479661429789307027158689562781634392888
"E01031405",21570,18944,24164,9054,17624,19076,26313,26783,4,7,0.6567409572524662038728534892217756667885
"E01031417",21569,17158,21383,13742,22862,26217,10718,30691,4,7,0.6567105102910729509194982340762391913287
"E01031439",25276,20462,18026,20315,22729,28866,24346,30120,4,8,0.7695773961758616490074290585799537206187
"E01031440",18603,20794,12514,17560,15296,23817,9533,28138,3,6,0.5664048227986846912678114724150529777128
"E01031433",10307,10157,10246,7127,9424,11907,6685,27859,2,4,0.3138168310802581902326147850444525636341
"E01031434",12424,12578,14223,7874,8886,21559,14670,9819,2,4,0.378273048349774692485689928145171111923
"E01031442",14830,13052,14187,8297,15576,17664,20085,15706,3,5,0.4515284374619412982584338083059310680794
"E01031419",18723,18531,18198,16570,19201,5834,24809,19300,3,6,0.5700584581658750456704420898794300328827
"E01031421",21258,17416,15317,16492,21024,25303,19067,29713,4,7,0.6472415052977712824260138838143953233467
"E01031443",10154,12342,10094,3200,10981,8100,19015,19708,2,4,0.3091584459870904883692607477773718182925
"E01031450",4915,4582,6159,1202,5462,9911,13149,17759,1,2,0.1496468152478382657410790403117768846669
"E01031451",7437,6573,8124,2064,7207,13155,15391,26275,2,3,0.2264340518816222141030325173547679941542
"E01031431",15133,20916,29426,9495,14413,3919,5758,13656,3,5,0.4607538667640969431250761174034831323834
"E01031435",11277,12638,11458,13990,4587,11852,15488,13135,2,4,0.3433503836317135549872122762148337595908
"E01031436",3392,5713,3584,2514,4108,2383,13176,6058,1,2,0.103276093045914017781025453659724759469
"E01031453",10209,9315,10104,8215,7711,14550,13964,14030,2,4,0.3108330288637194008037997807818779685787
"E01031380",29837,30300,30300,25351,25511,30476,8465,31907,5,10,0.9084459870904883692607477773718182925344
"E01031382",23259,24242,18436,11479,20522,22028,22618,31906,4,8,0.7081658750456704420898794300328827183047
"E01031384",28198,24621,23417,20530,22625,31843,21484,31284,5,9,0.8585434173669467787114845938375350140056
"E01031385",15593,13136,12529,6262,13782,29544,23157,29428,3,5,0.474759469004993301668493484350261843868
"E01031446",27392,23069,26903,16522,18371,32522,23538,31744,5,9,0.8340031664839848983071489465351357934478
"E01031447",20076,22502,16101,9830,19682,26117,11126,31872,4,7,0.6112531969309462915601023017902813299233
"E01031449",18924,15667,16385,9559,18498,25878,22032,24760,3,6,0.5761782974059188892948483741322616002923
"E01027980",4929,4355,3523,1875,5897,11818,18345,23431,1,2,0.1500730727073438070880526123492875411034
"E01027981",12552,16337,12072,12898,16343,5159,7450,13895,2,4,0.3821702594081110705151625867738399707709
"E01027983",4795,4254,4609,2406,6251,6603,29741,7978,1,2,0.145993179880647911338448422847399829497
"E01027970",19392,20041,15386,11955,16251,18154,29244,18728,3,6,0.5904274753379612714651077822433321154549
"E01027971",18995,23914,13009,14050,14257,29664,10569,24342,3,6,0.5783400316648398489830714894653513579345
"E01027982",12767,13823,8554,9581,7465,17882,30397,18806,2,4,0.388716356107660455486542443064182194617
"E01027984",21612,20321,16496,19343,17340,18402,28142,19435,4,7,0.6580197296309828279137742053343076360979
"E01027966",2418,3592,1040,2392,374,13241,26350,28114,1,1,0.0736207526488856412130069419071976616734
"E01027986",4852,6216,3245,2726,2248,11615,28197,16514,1,2,0.1477286566800633296796979661429789307027
"E01027987",5707,4090,4878,1583,8000,15589,26420,17335,1,2,0.1737608086712946047984411155766654487882
"E01027990",20222,19612,15898,11604,15184,29591,31053,17683,4,7,0.6156984532943612227499695530386067470466
"E01027967",6486,8129,5548,5359,4855,5211,29859,7494,1,2,0.1974789915966386554621848739495798319328
"E01027972",16036,13910,12754,11714,14027,19898,21442,20285,3,5,0.4882474729022043600048715138229204725368
"E01027977",8046,9271,7057,6411,6248,3890,27613,14868,2,3,0.2449762513701132626963829009864815491414
"E01027978",2078,2355,2506,1347,4583,737,27039,8135,1,1,0.0632687857751796370722201924247960053587
"E01027985",12354,12469,10477,8730,6709,19173,23204,18301,2,4,0.3761417610522469857508220679576178297406
"E01027964",6688,8018,3976,3648,4600,17548,19703,18338,2,3,0.2036292777980757520399464133479478748021
"E01027968",1832,2385,958,4732,1829,1447,20900,13537,1,1,0.0557788332724394105468274266228230422604
"E01027974",622,526,644,160,1857,5670,13774,17000,1,1,0.018938009986603336986968700523687735964
"E01027976",4257,5683,3214,3244,3058,4517,20292,14318,1,2,0.129612714651077822433321154548776032152
"E01027969",10982,12233,8628,4776,8536,19215,30465,13144,2,4,0.3343685300207039337474120082815734989648
"E01027975",13544,10770,11404,10225,9878,22508,27377,15608,3,5,0.412373645110218000243575691146023626842
"E01027988",19788,18995,15921,12830,15849,25069,31145,15164,4,7,0.6024844720496894409937888198757763975155
"E01027989",17182,17995,10748,11883,14300,20324,27677,22113,3,6,0.5231396906588722445499939106077213494093
"E01027991",9011,9559,5932,4685,9775,8411,29876,20388,2,3,0.2743575691146023626842041164291803677993
"E01027992",28929,29786,26351,21924,24988,18572,22612,25651,5,9,0.8808001461454146876141761052246985750822
"E01027949",16365,17810,15862,12194,12690,10212,32290,11030,3,5,0.4982645232005845816587504567044208987943
"E01027951",1210,956,924,144,3713,5238,21859,27181,1,1,0.0368408232858360735598587260991353062964
"E01027953",14854,15929,8077,14529,12322,11363,28190,26145,3,5,0.4522591645353793691389599317988064791134
"E01027954",6898,7674,5588,5337,3139,14182,17681,16431,2,3,0.2100231396906588722445499939106077213494
"E01027952",3961,4468,4035,1787,2812,6008,25674,13576,1,2,0.1206004140786749482401656314699792960663
"E01027955",7803,8678,5866,3840,8085,8424,31835,12215,2,3,0.2375776397515527950310559006211180124224
"E01027958",5011,3585,4341,2675,4779,7760,27714,21450,1,2,0.1525697235415905492631835342832785288028
"E01027950",11810,14130,8931,9857,11127,6201,19916,19350,2,4,0.3595786140543173791255632687857751796371
"E01027959",25426,28410,22778,22132,19629,23391,13702,19529,4,8,0.774144440384849592010717330410425039581
"E01027995",22230,23229,17251,11889,13772,29492,31061,25668,4,7,0.6768359517720131530873218852758494702229
"E01027997",17279,19311,14440,11154,16845,13934,18928,17905,3,6,0.526093045914017781025453659724759469005
"E01027998",15195,14555,11313,9725,12319,18613,31766,16897,3,5,0.4626415783704786262331019364267446108878
"E01027961",22715,22496,20271,14522,19402,17079,27123,20485,4,7,0.6916027280477408354646206308610400682012
"E01027963",11887,9500,10383,6146,7703,18552,30252,27361,2,4,0.3619230300815978565339179149920837900378
"E01027945",14375,14113,10879,10306,10484,15023,32667,17129,3,5,0.4376750700280112044817927170868347338936
"E01027993",24485,25097,21123,17201,20528,20688,23141,20023,4,8,0.7454938497137985629034222384606016319571
"E01027994",19447,16664,14111,11990,18598,28920,21658,25765,3,6,0.5921020582145901838996468152478382657411
"E01027931",8113,7305,5365,7947,6729,9074,17873,23876,2,3,0.2470161977834612105711849957374254049446
"E01027934",28037,26061,24936,22940,20440,24297,24722,24857,5,9,0.853641456582633053221288515406162464986
"E01027936",28169,26485,19749,22486,20407,30202,32606,27753,5,9,0.8576604554865424430641821946169772256729
"E01027927",8903,8259,5993,5869,6880,13192,28616,20467,2,3,0.2710692972841310437218365607112410181464
"E01027932",13862,14010,12490,7825,19623,8248,30489,10820,3,5,0.4220557788332724394105468274266228230423
"E01027937",5030,4461,4300,3309,4599,14355,24057,6809,1,2,0.1531482158080623553769333820484715625381
"E01027925",18134,16818,15461,13238,16462,13390,30455,17077,3,6,0.5521251979052490561441968091584459870905
"E01027943",13527,14908,13621,4321,14238,19574,25499,11209,3,5,0.4118560467665327000365363536719035440263
"E01027926",19210,22895,12859,12778,15756,19553,27062,18289,3,6,0.5848861283643892339544513457556935817805
"E01027930",2621,3710,2152,1099,3273,1380,27097,21756,1,1,0.0798014858117159907441237364511021800024
"E01027941",13329,14182,9907,8676,12723,25565,9062,23075,3,5,0.405827548410668615272195834855681402996
"E01023987",17885,17177,22868,15424,25240,19426,1755,25291,3,6,0.544543904518329070758738277919863597613
"E01023988",17723,22773,25465,25415,27141,20579,256,12135,3,6,0.5396114967726220923151869443429545731336
"E01024041",26880,28737,30393,31304,30128,16930,7363,13214,5,9,0.8184143222506393861892583120204603580563
"E01032810",10950,8132,9485,8219,9522,13746,15442,29687,2,4,0.3333942272561198392400438436244062842528
"E01023985",18058,21122,20882,19452,24844,16646,1991,15767,3,6,0.5498112288393618316891974180976738521496
"E01023989",25964,28770,30363,26122,29581,23767,4477,14332,4,8,0.7905249056144196809158445987090488369261
"E01023990",6422,9577,7091,7844,11661,8049,157,17437,1,2,0.1955303860674704664474485446352454025088
"E01024035",21020,25228,25129,25090,29793,18673,3611,7168,4,7,0.6399951284861770795274631591767141639264
"E01023983",25369,24601,23878,18017,23122,13300,26379,23510,4,8,0.7724089635854341736694677871148459383754
"E01032811",22803,20084,20035,19394,23896,26783,8358,28579,4,7,0.6942820606503470953598830836682499086591
"E01032822",22769,19419,20796,22402,24378,13345,13625,27306,4,7,0.6932468639629764949458044087200097430276
"E01023981",11243,11197,7495,11904,17025,10408,5168,30295,2,4,0.3423151869443429545731336012665935939593
"E01023984",6952,4537,5497,5352,12623,7508,12147,24042,2,3,0.2116672756058945317257337717695773961759
"E01024022",17874,14472,15454,11098,28065,14746,12922,27855,3,6,0.5442089879430032882718304713189623675557
"E01032820",22066,19963,25914,19595,27796,22466,2981,28962,4,7,0.671842650103519668737060041407867494824
"E01023973",5117,3090,4986,4965,8017,9577,4195,28129,1,2,0.1557971014492753623188405797101449275362
"E01024002",11683,12106,13202,8383,22777,5333,10701,9472,2,4,0.3557118499573742540494458653026427962489
"E01024027",10149,11554,11461,15046,17686,4495,6565,4806,2,4,0.3090062111801242236024844720496894409938
"E01024029",12171,12381,12908,6057,19830,5436,13055,21366,2,4,0.3705699671172816952868103763244428206065
"E01023995",29136,26859,26202,21325,24300,30040,26035,21024,5,9,0.8871026671538180489587139203507489952503
"E01024003",22476,19981,17134,18252,25529,24503,15069,22613,4,7,0.6843259042747533796127146510778224333212
"E01024004",24649,28020,29148,24353,25768,23227,2320,25905,4,8,0.750487151382292047253684082328583607356
"E01023974",5612,7081,4723,1409,11406,3442,12280,29290,1,2,0.170868347338935574229691876750700280112
"E01023975",6543,5438,7563,1931,13491,3636,13362,28691,1,2,0.1992144683960540738034344172451589331385
"E01024016",18548,17422,18255,9828,25363,18302,12270,18981,3,6,0.5647302399220557788332724394105468274266
"E01024017",25511,19080,25383,21966,24243,21661,14513,30859,4,8,0.7767324321032760930459140177810254536597
"E01023976",5440,4746,5058,2031,9006,6563,12677,23268,1,2,0.1656314699792960662525879917184265010352
"E01024020",3285,1923,5195,384,13949,7593,3780,31807,1,1,0.1000182681768359517720131530873218852758
"E01032816",26686,26921,27278,18826,30003,19439,8185,31196,5,9,0.8125076117403483132383388137863841188649
"E01024001",8620,6830,6219,3081,17012,16533,15468,20822,2,3,0.2624528072098404579222993545244184630374
"E01032815",6656,5386,6006,7142,10674,3154,8305,26141,2,3,0.2026549750334916575325782486907806600901
"E01032817",19097,13208,18743,14375,21996,13668,20929,25397,3,6,0.5814456217269516502253075143100718548289
"E01032819",26110,19665,24944,20143,29098,28537,11700,30356,4,8,0.7949701619778346121057118499573742540494
"E01024013",20346,18051,20624,13931,27604,20585,12586,14065,4,7,0.6194738765071245889660211910851297040555
"E01024014",15563,23887,24220,21176,26311,20547,123,6294,3,5,0.4738460601631957130678358299841675800755
"E01024034",19514,22330,20789,19282,28110,18406,5355,8724,3,6,0.5941420046279381317744489099987821215443
"E01023978",18813,26371,29059,21532,29548,21011,900,5634,3,6,0.5727986846912678114724150529777128242601
"E01024032",15082,17151,21294,14937,25231,16150,718,15638,3,5,0.4592010717330410425039581049811228839362
"E01024036",18618,21647,23017,17632,31002,26613,973,13947,3,6,0.5668615272195834855681402995981001096091
"E01024031",15238,19209,19215,13485,23462,26402,1646,7017,3,5,0.463950797710388503227377907684813055657
"E01024038",18926,18952,12803,16739,28666,21796,9107,19104,3,6,0.5762391913287053952015588844233345512118
"E01024039",15785,22877,21899,15493,28274,16580,476,10845,3,5,0.4806052855924978687127024722932651321398
"E01032813",26758,21446,24399,15616,29150,23521,21383,31857,5,9,0.8146997929606625258799171842650103519669
"E01032814",19657,19071,21783,19129,29795,9571,4249,27137,3,6,0.5984959201071733041042503958104981122884
"E01024009",20364,22611,26829,22466,25762,18410,3251,9738,4,7,0.620021921812203142126415783704786262331
"E01024010",13742,16402,16680,12642,25751,13208,2269,8861,3,5,0.4184021434660820850079162099622457678724
"E01024011",25759,21841,24489,18365,28639,20375,15834,26475,4,8,0.7842832785288028254780172938740713676775
"E01024012",23133,19208,23710,12820,23841,18131,20104,27449,4,8,0.7043295579101205699671172816952868103763
"E01024024",24817,20102,23548,17591,30481,26328,10007,29400,4,8,0.7556022408963585434173669467787114845938
"E01024025",15735,14326,15838,9786,23717,15306,6737,23440,3,5,0.4790829375228352210449397150164413591524
"E01023997",12461,16405,18966,14400,26414,24298,62,6823,2,4,0.3793995859213250517598343685300207039337
"E01024026",23343,22518,22915,17971,28430,23740,5249,29580,4,8,0.7107234198027036901717208622579466569236
"E01024037",22565,23073,22395,21637,26423,19570,10775,11156,4,7,0.6870356838387528924613323590305687492388
"E01017648",31507,30665,31343,29425,32069,26905,10801,32572,5,10,0.9592924126172208013640238704177323103154
"E01017649",28487,22140,27682,26598,27854,17205,21716,28036,5,9,0.8673425892095968822311533308975764218731
"E01017650",30465,29990,31158,27162,31951,28609,7380,32249,5,10,0.9275666788454512239678480087687248812569
"E01032960",19933,30618,29869,25256,31927,28360,244,6633,4,7,0.6068992814517111192303008159785653391791
"E01017644",29502,27556,30114,22280,29796,28646,9906,31337,5,9,0.8982462550237486298867373036170990135185
"E01017645",19839,18556,27132,16427,19444,11353,15560,10346,4,7,0.6040372670807453416149068322981366459627
"E01017646",20278,15222,18517,18717,19826,11132,21293,30741,4,7,0.6174034831323833881378638411886493727926
"E01017647",32764,32692,32198,31685,31251,26555,24156,32620,5,10,0.9975642430885397637315795883570819632201
"E01017671",24076,28939,31813,28877,31377,9000,6811,8560,4,8,0.7330410425039581049811228839361831689197
"E01017672",29063,30400,29558,29114,29187,24539,14467,11996,5,9,0.8848800389721105833637802947265862866886
"E01017695",25730,20646,19145,21554,23491,27266,21323,32040,4,8,0.7834003166483984898307148946535135793448
"E01017696",30861,27637,30762,24425,28563,20115,23814,30410,5,10,0.9396236755571793934965290464011691633175
"E01017693",27750,30203,32449,26863,30579,28972,6428,11287,5,9,0.844903178662769455608330288637194008038
"E01017694",21806,25899,28483,25916,31841,31124,304,20795,4,7,0.6639264401412739008646937035683838752892
"E01017714",27770,30355,30647,30424,31544,15129,5988,21236,5,9,0.845512117890634514675435391547923517233
"E01017717",18879,23938,27617,24541,27960,28048,928,5450,3,6,0.5748081841432225063938618925831202046036
"E01017718",24942,25035,28051,27205,29259,27959,2258,25069,4,8,0.7594081110705151625867738399707709170625
"E01017735",25126,28625,28762,26868,30783,29736,1267,25962,4,8,0.7650103519668737060041407867494824016563
"E01017736",23601,15365,16548,20799,23701,28874,26332,32191,4,8,0.7185787358421629521373766898063573255389
"E01017738",25558,19155,25459,20298,21743,27644,27939,16555,4,8,0.7781634392887589818536110096212398002679
"E01017669",23893,23243,24051,26505,20821,8772,14444,27418,4,8,0.7274692485689928145171111923030081597857
"E01017715",23047,27002,28533,28584,30810,31650,831,15671,4,8,0.7017111192303008159785653391791499208379
"E01017716",26796,28854,27797,28359,30743,28942,2552,27624,5,9,0.8158567774936061381074168797953964194373
"E01017731",24125,19679,19051,15817,22945,19563,30552,30857,4,8,0.7345329436122274996955303860674704664474
"E01017732",31683,30109,31983,26692,26795,24690,23318,27140,5,10,0.9646510778224333211545487760321519912313
"E01017734",26931,31462,30858,27992,32243,28914,2873,15673,5,9,0.8199671172816952868103763244428206065035
"E01017704",27135,29796,27653,29088,31966,27209,5261,14660,5,9,0.8261782974059188892948483741322616002923
"E01017719",28632,20075,25327,25521,21566,28083,31568,30366,5,9,0.8717573986116185604676653270003653635367
"E01032958",28006,30920,28966,29176,31743,27950,8635,10229,5,9,0.8526976007794422116672756058945317257338
"E01032959",19033,10240,19007,16688,22844,21227,13808,32440,3,6,0.5794970161977834612105711849957374254049
"E01017652",21006,23062,27642,27150,28257,26419,595,19674,4,7,0.63956887102667153818048958713920350749
"E01017701",27415,26259,29058,24711,32183,30810,5010,22908,5,9,0.834703446596029716234319814882474729022
"E01017702",26695,20287,26581,18606,28440,19054,21796,28237,5,9,0.8127816343928875898185361100962123980027
"E01017643",22357,27123,30385,24588,29393,23620,746,19743,4,7,0.680702715868956278163439288758981853611
"E01017674",18246,28618,30261,19742,28467,29293,38,8136,3,6,0.5555352575812933869199853854585312385824
"E01017659",14197,12968,9411,5583,20655,17628,21205,31310,3,5,0.4322555109000121787845573011813421020582
"E01017661",13017,11549,10562,7725,15689,12529,14947,28881,2,4,0.3963280964559736938253562294483010595543
"E01017664",31318,30470,30773,29365,30651,25023,12152,32233,5,10,0.9535379369138959931798806479113384484228
"E01017706",14695,12471,12182,4845,17054,21563,21613,32225,3,5,0.4474180976738521495554743636585068810133
"E01017707",6134,5245,4607,2461,6890,12500,14138,32418,1,2,0.1867616611862136158811350627207404701011
"E01017665",6453,5307,6086,3563,6380,15617,8138,23666,1,2,0.1964742418706613080014614541468761417611
"E01017666",9837,13179,9532,6722,10500,5770,16832,9052,2,3,0.2995067592254293021556448666423090975521
"E01017668",22556,21697,23610,9961,24312,21994,12484,30210,4,7,0.6867616611862136158811350627207404701011
"E01017698",18422,15281,16177,10238,24658,12733,21852,26086,3,6,0.5608939227865059067105102910729509194982
"E01017699",13592,17415,14037,11918,17670,8865,8072,9058,3,5,0.41383509925709414200462793813177444891
"E01017634",15569,17193,21152,20228,24288,1116,12572,13569,3,5,0.474028741931555230787967360857386432834
"E01017662",11671,11587,9404,9817,14980,6867,15310,18994,2,4,0.3553464864206552186091828035562050907319
"E01032955",18292,17577,20844,26924,17307,9823,5637,19263,3,6,0.5569358178053830227743271221532091097308
"E01017654",9146,9070,5329,3580,14444,23228,11205,26833,2,3,0.2784679089026915113871635610766045548654
"E01032956",30649,31326,32043,24122,30912,28542,10738,25727,5,10,0.9331689197418097673852149555474363658507
"E01032957",29503,27681,31601,22224,28046,25001,17168,20158,5,9,0.8982767019851418828400925587626354889782
"E01017635",29108,29955,28458,24452,27891,22230,21631,14187,5,9,0.8862501522348069662647667762757276823773
"E01017636",31174,27953,28119,18634,28786,31799,29070,32400,5,10,0.949153574473267567896723906954085982219
"E01017638",32318,32403,31858,26261,31896,26025,21128,29300,5,10,0.983984898307148946535135793447813908172
"E01017639",32784,32233,31928,29777,32641,30350,24802,31388,5,10,0.9981731823164048227986846912678114724151
"E01017709",6409,8363,7975,841,11976,7620,5240,28843,1,2,0.1951345755693581780538302277432712215321
"E01017710",13719,13426,13912,4483,21689,10888,12156,30093,3,5,0.4177018633540372670807453416149068322981
"E01017712",8304,9168,10678,2231,12770,7160,7047,23725,2,3,0.2528315674095725246620387285348922177567
"E01017688",24050,23227,22679,17707,29257,13261,16370,21707,4,8,0.7322494215077335281938862501522348069663
"E01017689",30810,31753,29830,20907,31225,25210,14750,32080,5,10,0.9380708805261234928754110339788089148703
"E01017691",31447,32184,32144,27182,31417,23961,11767,31595,5,10,0.9574655949336256241627085616855437827305
"E01017692",28142,28381,29578,27115,30578,19652,7896,23089,5,9,0.8568383875289246133235903056874923882597
"E01017722",27449,25651,26274,15257,23983,21579,23045,31237,5,9,0.8357386432834003166483984898307148946535
"E01017723",9620,9040,9119,2788,12765,10926,14031,32674,2,3,0.2928997686030934112775545000608939227865
"E01017629",30847,32436,31354,30458,32294,20979,9694,27599,5,10,0.939197418097673852149555474363658506881
"E01017630",30843,27981,26580,24053,31867,30199,17735,32355,5,10,0.939075630252100840336134453781512605042
"E01017632",31859,31463,30401,28642,30225,25787,17308,30203,5,10,0.9700097430276458409450736816465716721471
